,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1687,5,4,4,3,4,4,4,4,2,3,6,5,6,6,4
1688,6,3,3,4,4,4,0,0,6,0,0,0,0,0,0
1689,4,4,4,4,6,5,6,6,6,6,6,6,6,0,4
1690,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1691,4,4,3,3,4,4,3,3,4,6,6,4,6,6,4
1692,4,3,2,3,3,4,6,3,4,6,6,6,6,6,3
1693,4,4,3,3,3,3,3,3,3,6,6,6,6,6,4
1694,6,6,6,6,0,4,6,6,5,6,6,6,6,6,4
1695,3,3,3,3,3,6,6,3,6,6,6,6,6,6,3
1696,5,6,4,4,4,5,6,6,3,6,6,5,6,6,5
1697,5,5,6,4,5,5,5,5,5,6,6,5,6,6,5
1698,2,2,1,4,4,4,3,3,6,4,6,6,6,6,4
1699,4,4,3,4,3,3,6,6,4,2,6,4,6,4,4
1700,6,4,6,5,5,0,5,5,5,4,6,3,6,5,4
1701,5,5,0,5,5,5,5,5,1,4,4,5,6,3,4
1702,4,6,6,5,4,5,6,6,6,5,6,6,6,6,5
1703,5,4,4,4,5,5,5,5,3,4,4,6,6,6,4
1704,4,6,6,2,5,6,6,6,6,6,6,6,6,6,2
1705,5,5,5,3,3,2,2,2,1,2,6,6,6,6,4
1706,6,3,6,4,3,3,6,6,4,3,3,6,6,0,4
1707,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
1708,6,3,3,4,4,3,3,3,5,5,5,5,6,4,4
1709,5,4,4,3,3,4,6,6,6,3,3,3,6,6,4
1710,5,4,4,5,5,5,5,5,5,4,6,5,6,6,5
1711,6,4,6,5,5,5,5,5,6,5,5,6,6,6,5
1712,5,6,5,5,5,5,6,6,5,5,6,6,6,6,5
1713,4,5,5,3,5,4,0,3,1,4,6,5,4,6,4
1714,3,4,3,3,4,4,4,4,4,2,6,6,6,6,4
