,2013,2014,2015,2016,2017
524,6,1.0,3.0,6.0,3.0
525,4,4.0,4.0,6.0,5.0
526,2,6.0,6.0,4.0,6.0
527,4,5.0,6.0,4.0,6.0
528,3,5.0,1.0,5.0,3.0
529,6,4.0,6.0,6.0,5.0
530,1,1.0,6.0,4.0,5.0
531,1,6.0,5.0,5.0,6.0
532,2,5.0,5.0,5.0,6.0
533,2,6.0,5.0,5.0,3.0
534,3,4.0,6.0,3.0,6.0
535,1,5.0,4.0,6.0,5.0
536,2,5.0,6.0,4.0,6.0
537,4,4.0,4.0,5.0,5.0
538,6,4.0,1.0,6.0,6.0
539,4,1.0,5.0,3.0,4.0
540,4,6.0,5.0,6.0,4.0
541,4,6.0,4.0,4.0,4.0
542,4,2.0,3.0,3.0,5.0
543,0,5.0,4.0,5.0,3.0
544,4,5.0,4.0,0.0,6.0
545,4,4.0,5.0,6.0,6.0
546,5,1.0,5.0,4.0,4.0
547,6,5.0,6.0,4.0,5.0
548,6,6.0,5.0,4.0,5.0
549,2,3.0,5.0,3.0,6.0
550,3,4.0,6.0,5.0,2.0
551,4,4.0,4.0,6.0,6.0
552,4,6.0,4.0,4.0,5.0
553,4,6.0,5.0,4.0,3.0
554,4,6.0,5.0,3.0,5.0
555,4,6.0,5.0,5.0,6.0
556,5,5.0,4.0,3.0,5.0
557,6,4.0,6.0,3.0,3.0
558,6,6.0,4.0,4.0,6.0
559,6,6.0,6.0,5.0,4.0
560,6,6.0,5.0,6.0,0.0
561,6,4.0,0.0,6.0,4.0
562,6,5.0,5.0,3.0,5.0
563,5,6.0,6.0,4.0,5.0
564,5,5.0,4.0,4.0,4.0
565,1,6.0,5.0,4.0,6.0
566,4,3.0,4.0,3.0,4.0
567,0,5.0,4.0,3.0,0.0
568,1,6.0,6.0,5.0,6.0
569,6,3.0,5.0,5.0,5.0
570,1,4.0,6.0,3.0,4.0
571,4,6.0,5.0,6.0,3.0
572,4,6.0,6.0,5.0,6.0
573,4,4.0,4.0,4.0,4.0
574,1,4.0,5.0,4.0,4.0
575,5,6.0,4.0,5.0,6.0
576,0,5.0,4.0,4.0,6.0
577,4,0.0,6.0,6.0,4.0
578,1,3.0,3.0,4.0,4.0
579,6,5.0,6.0,4.0,5.0
580,6,4.0,5.0,5.0,3.0
581,1,4.0,3.0,5.0,5.0
582,4,5.0,6.0,4.0,6.0
583,4,6.0,5.0,3.0,3.0
584,5,5.0,4.0,5.0,5.0
585,3,4.0,5.0,5.0,3.0
586,4,6.0,6.0,4.0,5.0
587,6,5.0,5.0,4.0,6.0
588,2,3.0,6.0,3.0,5.0
589,5,5.0,3.0,5.0,4.0
590,3,4.0,6.0,4.0,6.0
591,4,6.0,3.0,5.0,6.0
592,3,6.0,6.0,5.0,6.0
