RESPNUM,CCGID,RUN,INTDATE,GATE,AREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,DEPTIME,ARRTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8IMPROVE1,Q8IMPROVE2,Q8IMPROVE3,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10SAFEA,Q10SAFEB,Q10SAFEC,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15PROBCOM1,Q15PROBCOM2,Q15PROBCOM3,Q16LIVE,Q17ST,Q17ZIP,Q17COUNTRY,HOME,Q18AGE,Q19GENDER,Q20INCOME,Q21FLY,Q22SJC,Q22OAK,LANG,WEIGHT,Location 1
2458,228,18010,4,75,F,3,2,1,1,33,791,88,1,3,5:14 PM,3:15 PM,1,,,,,,5,,,,,,,2,2,1,1,2,4,6,3,6,3,0,3,6,6,1,6,6,3,6,6,4,,,,5,5,5,5,5,5,,,,5,6,,,2,,,,,5,4,3,5,2,,,,3,WA,98101,US,10,4,2,3,2,2,2,1,2.5432199288,
2459,229,18010,4,75,F,3,2,1,1,33,791,88,1,3,5:14 PM,3:00 PM,1,,,,,,8,,,,,,,2,1,2,2,3,4,6,2,3,4,4,4,6,6,6,4,6,0,4,2,4,,,,3,3,3,3,3,3,,,,4,6,,,1,4,1,,,6,3,5,4,2,,,,0,WA,,US,10,6,1,0,2,1,0,1,2.5432199288,
2460,230,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,3:15 PM,3,,,,,,15,,,,,,,2,2,1,1,4,2,5,4,2,5,5,3,6,6,3,5,5,6,5,6,4,204,226,200,5,6,6,4,3,4,,,,5,,,,2,,,,,24,5,5,5,2,,,,2,CA,93940,US,10,3,2,1,2,1,2,1,2.5432199288,
2461,231,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,2:30 PM,1,,,,,,8,,,,,,,2,2,1,1,3,2,3,3,3,4,4,4,6,6,4,4,6,4,6,4,4,4,3,,3,3,3,4,4,3,,,,3,,,,1,5,1,,,5,3,5,5,2,,,,3,WA,98282,US,10,4,1,3,1,2,2,1,2.5432199288,
2462,232,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,11:25 AM,2,,,,,,3,,,,,,,1,1,2,1,1,1,6,3,2,3,3,3,2,6,4,6,6,6,6,6,2,,,,3,6,6,3,4,4,,,,3,,,,2,,,,,11,0,3,3,2,,,,3,,,SINGAPORE,16,5,1,1,2,2,2,1,2.5432199288,
2463,233,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,12:30 PM,3,,,,,,3,,,,,,,1,1,2,1,1,1,2,3,6,4,4,5,3,3,5,6,6,6,6,6,3,200,,,6,6,6,6,4,3,,,,4,,,,1,3,0,,,11,6,5,5,2,,,,3,WA,98801,US,10,2,2,1,3,2,2,1,2.5432199288,
2464,234,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,3:00 PM,6,,,,,,3,,,,,,,2,1,1,2,1,1,3,3,3,3,3,4,3,3,5,6,6,6,6,6,3,218,275,223,2,6,6,3,1,2,,,,4,3,,,4,,,,,11,6,3,6,1,24,,,3,WA,98118,US,10,2,2,2,2,2,2,1,2.5432199288,
2465,235,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,3:20 PM,2,,,,,,8,,,,,,,1,0,1,2,1,4,5,4,4,4,2,3,6,6,4,4,6,5,6,4,4,200,,,4,4,4,4,4,4,,,,4,,,,1,4,15,4,,4,3,4,3,2,,,,3,IL,60089,US,11,6,2,0,2,2,1,1,2.5432199288,
2466,236,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,3:50 PM,1,,,,,,12,,,,,,,2,1,0,1,3,1,4,3,3,4,4,4,4,4,4,6,6,6,6,6,4,2,,,3,0,0,0,3,4,,,,4,,,,2,,,,,5,4,4,5,2,,,,3,WA,98403,US,10,4,2,3,2,2,2,1,2.5432199288,
2467,237,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,9:30 AM,2,,,,,,3,,,,,,,2,2,1,1,1,4,5,5,6,4,4,4,6,6,4,6,6,6,6,6,5,907,,,5,6,6,5,5,5,,,,4,,,,4,,,,,11,0,0,0,1,6,24,,3,MI,48906,US,11,7,2,3,2,2,2,1,2.5432199288,
2468,238,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,N,2,,,,,,3,,,,,,,2,2,2,1,1,4,4,4,4,3,3,3,6,6,5,6,6,6,6,6,4,,,,4,6,6,6,5,0,,,,3,,,,4,,,,,11,0,3,6,2,,,,3,CA,93111,US,10,5,2,3,2,2,2,1,2.5432199288,
2469,239,18010,4,75,F,3,2,1,2,33,791,88,1,3,5:14 PM,4:00 PM,4,,,,,,3,,,,,,,2,2,2,1,3,2,5,4,4,5,2,4,3,3,4,6,6,3,6,6,4,,,,4,6,6,4,3,4,91,,,3,,,,0,0,,,,11,4,6,6,1,1,,,0,,,Blank,0,0,0,0,0,0,0,1,2.5432199288,
