*RESPNUM,CCGID,RUNID,INTDATE,EGYPTAIR,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE CODE,DEST CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8COM,Q8COM2,Q8COM3,Q8COM4,Q8COM5,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13 COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,Q16LIVE,Q17ZIP,Q17COUNTRY,HOME,Q18PET,Q19AGE,Q20GENDER,Q21INCME,Q22FLY,Q23SJC,Q23OAK,LANG,WEIGHT,HOWLONG,Q17CITY,Q17STATE
53,61,578,05/09/2016 12:00:00 AM,1,2,30,B,3,2,1,2,SOUTHWEST,LAS VEGAS,1307,25,30,1,4,17:30:00,19:10:00,2,,,9,,,,1,1,1,2,3,1,3,4,4,4,3,3,3,3,3,2,3,3,3,6,4,4,0,,,,,3,3,3,3,3,3,0,,,4,33,,,1,5,2,,,5,4,3,3,2,,,,3,,UNITED STATES,10,1,Under 24,Female,3,1,2,2,1,0.8875125,100,LAS VEGAS,NV
1541,1978,720,05/13/2016 12:00:00 AM,1,6,10,A,3,2,1,2,ALASKA,SEATTLE,331,7,60,1,4,13:20:00,18:00:00,4,,,5,,,,0,0,0,1,2,1,2,3,3,3,1,1,1,1,1,5,6,6,6,6,6,3,0,,,,,4,4,4,4,4,4,0,,,3,0,,,0,,,,,7,3,1,1,1,26,,,1,,,90,1,Under 26,Female,4,1,1,3,1,0.35525,280,,
2340,2995,520,05/07/2016 12:00:00 AM,1,7,4,A,2,3,1,2,CHINA SOUTHERN,WUHAN,660,14,70,8,3,11:00:00,13:55:00,3,,,5,,,,1,0,0,1,2,1,1,5,3,4,4,4,4,5,5,3,6,6,6,6,6,4,103,,,,,5,6,6,6,6,6,0,,,4,0,,,2,,,,,6,4,4,3,2,,,,1,94027,UNITED STATES,2,1,Under 29,Female,5,3,2,2,3,0.9755176715,175,ATHERTON,CA
2996,2525,504,05/06/2016 12:00:00 AM,1,6,84,F,2,1,1,2,UNITED,BAKERSFIELD,5613,28,3,1,1,9:00:00,12:34:00,6,,,3,,,,2,2,1,1,1,1,4,4,4,4,4,5,5,6,6,3,6,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,3,0,,,4,,,,,11,3,3,6,2,,,,3,93314,UNITED STATES,10,1,Under 31,Female,0,2,2,2,1,1.757875,214,BAKERSFIELD,CA
2068,2848,536,05/08/2016 12:00:00 AM,1,1,31,B,2,1,1,1,SOUTHWEST,SAN DIEGO,2032,25,55,1,2,10:40:00,12:35:00,4,,,2,,,,1,2,2,1,3,1,2,4,4,3,4,2,3,4,3,3,4,2,4,6,6,4,502,505,9,,,5,5,6,4,3,4,109,,,5,21,,,2,,,,,0,4,5,5,1,1,,,3,91901,UNITED STATES,10,1,18-24,Female,0,2,2,1,1,0.8875125,115,ALPINE,CA
932,1704,772,05/17/2016 12:00:00 AM,1,3,27,B,3,2,1,2,SOUTHWEST,LAS VEGAS,187,25,30,1,4,17:00:00,20:20:00,2,,,9,,,,2,1,1,2,1,2,1,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,707,,,,,5,5,5,5,5,5,0,,,3,9,,,2,,,,,5,0,5,5,2,,,,2,90059,UNITED STATES,10,1,18-24,Female,0,2,2,4,1,0.8875125,200,LOS ANGELES,CA
1729,1586,774,05/17/2016 12:00:00 AM,1,3,21,B,3,2,1,2,FRONTIER,CINCINNATI,1194,18,14,3,1,19:45:00,22:35:00,2,,,13,,,,1,1,2,1,1,0,0,0,0,4,3,3,2,0,0,4,0,0,0,0,0,4,0,,,,,4,0,0,0,4,0,0,,,3,0,,,3,,,,,9,5,4,5,2,,,,3,,GERMANY,15,1,18-24,Female,0,4,2,2,1,0.9755176715,170,,
1907,1887,783,05/18/2016 12:00:00 AM,1,4,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:15:00,9:40:00,2,,,6,,,,1,2,1,2,3,1,4,4,3,3,3,3,3,6,6,3,3,3,3,6,6,3,0,,,,,3,4,6,4,4,3,0,,,5,0,,,2,,,,,1,2,3,5,2,,,,1,94705,UNITED STATES,3,1,18-24,Female,0,3,2,1,1,0.2510956938,145,BERKELEY,CA
2883,1118,855,05/23/2016 12:00:00 AM,2,2,4,A,2,3,1,2,AEROMEXICO,GUADALAJARA,663,2,23,4,1,9:00:00,11:45:00,2,,,2,,,,1,1,2,1,3,1,1,5,3,3,5,5,5,5,5,5,5,5,6,6,6,4,704,,,,,5,5,5,5,5,5,1,,,5,5,,,0,,,,,1,5,5,5,2,,,,3,,MEXICO,13,1,18-24,Female,0,3,2,2,1,0.9755176715,165,GUADALAJARA,
2395,2580,508,05/06/2016 12:00:00 AM,1,6,92,G,2,3,1,2,AIR CANADA,TORONTO,738,3,67,4,4,9:35:00,11:35:00,3,,,6,,,,1,0,0,0,3,1,2,5,5,5,5,5,5,5,5,5,6,6,5,6,6,5,506,,,,,5,5,5,5,5,5,0,,,5,32,,,2,,,,,1,5,5,5,2,,,,1,94702,UNITED STATES,3,1,18-24,Female,1,1,2,2,3,0.2510956938,120,BERKELEY,CA
