,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1434,2,3,2,4,3,4,3,3,4,4,6,6,6,3
1435,3,4,3,4,3,3,6,6,4,4,5,4,6,4
1436,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1437,6,6,6,5,5,4,6,6,6,6,6,6,6,3
1438,4,3,6,3,6,3,6,6,6,6,6,6,6,4
1439,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1440,1,2,3,4,3,4,6,6,2,3,3,6,6,3
1441,4,3,3,4,4,4,6,6,4,3,6,4,6,4
1442,3,3,3,3,3,3,6,6,6,6,6,5,6,3
1443,5,4,4,5,4,4,6,4,5,5,6,6,4,5
1444,3,3,4,4,4,2,6,6,3,6,5,6,6,4
1445,5,1,6,4,6,5,6,6,6,6,6,6,6,5
1446,4,4,4,4,4,4,4,4,0,0,0,0,0,4
1447,6,3,6,3,2,4,6,6,4,6,6,6,6,4
1448,3,3,3,4,6,4,6,6,6,6,6,6,6,3
1449,6,4,6,2,4,5,6,6,6,6,6,6,6,3
1450,5,5,5,5,5,5,5,5,5,5,6,5,6,5
1451,4,4,4,3,4,4,3,3,4,3,3,3,4,4
1452,3,2,1,4,2,2,3,3,2,3,4,5,3,2
1453,4,3,4,5,5,5,4,4,5,5,4,6,6,5
1454,4,3,3,4,4,4,3,3,4,3,5,4,6,0
1455,4,2,3,3,3,3,3,3,4,4,4,4,4,3
1456,3,4,3,4,4,3,3,3,4,4,4,4,3,4
1457,3,3,3,3,2,4,4,3,5,5,5,3,3,5
1458,4,3,3,4,4,5,5,5,0,0,0,0,0,4
1459,4,4,4,5,5,5,5,5,5,5,5,5,5,5
1460,4,4,4,5,5,5,5,5,4,5,4,5,4,5
1461,3,4,3,5,3,5,6,6,5,5,6,5,6,5
1462,5,5,5,5,5,5,5,5,6,6,6,6,6,5
1463,4,4,3,3,3,3,3,3,3,3,6,3,6,4
1464,6,6,6,6,6,4,6,6,6,6,6,6,6,3
1465,3,4,4,4,3,4,4,4,4,6,6,4,6,4
1466,6,4,3,4,5,5,6,6,3,6,4,6,6,4
1467,4,4,5,5,5,5,4,4,5,5,5,5,5,5
1468,6,6,4,4,4,4,6,6,6,6,6,6,6,4
1469,6,6,6,5,5,5,6,6,6,3,6,6,6,5
1470,6,6,6,5,5,5,6,6,6,5,6,6,6,5
1471,4,6,6,4,6,6,6,6,6,6,6,6,6,5
1472,5,5,4,5,5,5,4,4,5,5,5,5,0,5
1473,3,4,3,2,3,3,2,2,2,1,3,1,3,3
1474,3,3,3,3,4,5,5,5,4,4,4,4,4,4
1475,6,4,6,5,5,5,6,6,5,5,6,6,6,5
1476,6,6,5,5,4,4,6,6,4,6,6,6,6,4
1477,4,3,4,4,4,3,4,4,3,3,0,4,4,4
1478,4,3,3,4,4,3,3,3,4,2,4,4,3,4
1479,6,5,4,4,5,5,6,6,6,6,6,6,6,5
1480,6,3,6,4,4,4,6,4,6,6,6,6,6,4
1481,5,3,5,4,5,4,4,4,5,6,6,6,6,4
1482,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1483,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1484,4,4,2,5,4,4,6,6,5,3,4,6,6,4
1485,5,4,4,5,5,5,6,6,2,5,6,4,6,4
1486,4,4,4,4,5,3,4,4,4,6,5,6,6,4
1487,4,3,4,4,4,4,4,4,4,6,6,6,6,4
1488,6,6,0,5,5,5,4,4,4,4,0,6,6,5
1489,3,4,5,4,4,4,3,3,4,4,6,6,6,4
1490,4,4,6,4,4,5,6,6,5,6,6,6,6,4
1491,6,6,6,4,5,5,6,6,6,6,6,6,6,4
1492,5,6,6,4,4,6,6,6,6,6,6,6,6,4
1493,3,4,3,4,4,4,6,6,6,6,6,6,6,4
1494,5,6,4,5,5,5,6,6,6,6,6,6,6,5
1495,5,6,6,4,5,5,6,3,6,6,6,6,6,5
1496,3,4,4,3,4,4,4,4,4,4,4,6,6,4
1497,4,3,3,4,4,4,4,4,4,6,4,6,4,4
1498,6,6,3,4,4,4,6,6,4,4,6,6,6,4
1499,3,3,3,4,3,4,3,3,6,6,6,6,6,4
1500,6,6,6,4,4,3,6,6,6,6,6,6,6,4
